is_type,project_definition,of_variable
comment,"a free text comment that could be anything","carbon_percent,inorganic_carbon_percent,layer_middle,loss_on_ignition,organic_carbon_percent,organic_matter_density,total_carbon_percent"
control_vocabulary,"the control vocabulary used in the value","soil_class,stand_type,NA"
description,"a human readable discription often of a variable","carbon_percent,dry_bulk_density,field_water_percent,inorganic_carbon_percent,layer_bottom,layer_middle,layer_thickness,layer_top,loss_on_ignition,organic_carbon_density,organic_carbon_percent,organic_matter_density,organic_matter_percent,total_carbon_percent"
method,"what was the method used to record the value","carbon_percent,elevation,layer_middle,mean_air_temperature,mean_max_vapor_pressure_deficit,mean_solar_radiation,organic_carbon_density,organic_carbon_percent,soil_class,soil_nitrogen,soil_organic_carbon,soil_ph,soil_phosphorus,total_carbon_percent,total_rainfall"
unit,"the unit that the value is in","carbon_percent,dry_bulk_density,elevation,elevation_end,elevation_start,field_water_percent,inorganic_carbon_percent,layer_bottom,layer_middle,layer_thickness,layer_top,loss_on_ignition,mean_air_temperature,mean_max_vapor_pressure_deficit,mean_solar_radiation,organic_carbon_density,organic_carbon_percent,organic_matter_density,organic_matter_percent,soil_nitrogen,soil_organic_carbon,soil_phosphorus,stand_age,total_carbon_percent,total_rainfall"
value,"the reported value of a variable, could be a mean, observed or measured value that is numerical, text, or control vocabulary","carbon_percent,citation,core_comment,data_license,doi,dry_bulk_density,elevation,elevation_end,elevation_start,field_water_percent,inital_planting,inorganic_carbon_percent,land_use_type,latitude,layer_bottom,layer_middle,layer_thickness,layer_top,longitude,loss_on_ignition,mean_air_temperature,mean_max_vapor_pressure_deficit,mean_solar_radiation,observation_year,organic_carbon_density,organic_carbon_percent,organic_matter_density,organic_matter_percent,principal_investigator,projects,region,related_research,sampling_method,soil_class,soil_nitrogen,soil_organic_carbon,soil_ph,soil_phosphorus,stand_age,stand_type,total_carbon_percent,total_rainfall"
