"Leaf mass per area (LMA), foliar nitrogen, phosphorus, major cations, δ^{15}N, and δ^{13}C for native overstory species from sites along the precipitation gradient in Hawai'i. All concentrations are percent dry weight, and values are means with SE in parentheses. Where no SE is reported, a single or composite sample was analyzed. Species names from @Wagner1990.",,,,,
Canthium odoratum,0.75 (.12),0.77 (.12),1.31 (.31),-,-
Diospyros sandwicensis,0.96 (.10),0.93 (.06),1.10 (.22),-,-
Freycinetia arborea,-,-,-,1.36 (.25),1.07 (.29)
Myrsine spp.,-,-,1.08 (.29),0.92 (.15),1.29 (.14)
Metrosideros polymorpha,0.29 (.05),0.71 (.01),0.34 (.04),0.66 (.12),0.47 (.06)
Nestegis sandwicensis,-,-,0.75 (.08),-,-
Psychotria hawaiiense,-,-,1.08 (.29),0.92 (.26),1.29
Pouteria sandwicensis,1.23 (.24),1.47 (.24),-,-,-
Santalum ellipticum,3.58 (.63),4.35 (.40),-,-,-
Xylosma hawaiiense,0.97 (.06),1.56 (.48),-,-,-
Average,1.29 (.44),1.63 (.56),0.91 (.14),1.09 (.20),0.81 (.17)
,,,,,
-,Kaniku,Kaupulehu,Manuka,Kaloko,Waiakea
Species,δ15N,δ15N,δ15N,δ15N,δ15N
Acacia koa,-,-,-,-,-1.10 (.25)
Antidesma platyphyllum,-,-,-3.30,-3.20,-3.40
Canthium odoratum,-1.30 (.71),-0.70 (.30),-3.73 (.78),-,-
Diospyros sandwicensis,-1.10 (.33),-0.03 (.48),-3.18 (.22),-,-
Freycinetia arborea,-,-,-,-3.60,-3.00
Myrsine spp.,-0.30,-,-3.56 (.08),-3.90 (.25),-3.60 (1.2)
Metrosideros polymorpha,+0.04 (.30),+0.45 (.29),-3.78 (.19),-4.36 (.16),-3.38 (.18)
Nestegis sandwicensis,-,-,-3.90,-,-
Psychotria hawaiiense,-,-,-3.20 (.69),-3.43 (.38),-2.20
Pouteria sandwicensis,+0.70,-1.80,-,-,-
Santalum ellipticum,-0.20,-2.00,-,-,-
Xylosma hawaiiense,+0.80,+1.00,-,-,-
Average,-0.19 (.30),-0.51 (.49),-3.52 (.12),-3.70 (.23),-2.89 (.16)
,,,,,
-,Kaniku,Kaupulehu,Manuka,Kaloko,Waiakea
Species,δ15C,δ15C,δ15C,δ15C,δ15C
Acacia koa,-,-,-,-,-28.5 (.71)
Antidesma platyphyllum,-,-,-29.1,-32.4,-31.6
Canthium odoratum,-25.5 (.63),-25.3 (.53),-29.9 (.62),-,-
Diospyros sandwicensis,-25.8 (.18),-25.6 (.58),-27.2 (.25),-,-
Freycinetia arborea,-,-,-,-27.4,-32.0
Myrsine spp.,-23.6,-,-29.6 (.24),-28.8 (1.1),-29.9 (.26)
Metrosideros polymorpha,-27.7 (1.1),-26.4 (.98),-25.8 (.43),-29.0 (.23),-28.6 (.50)
Nestegis sandwicensis,-,-,-29.6,-,-
Psychotria hawaiiense,-,-,-28.2 (.44),-27.4 (.67),-29.0
Pouteria sandwicensis,-26.2,-24.6,-,-,-
Santalum ellipticum,-26.3,-26.2,-,-,-
Xylosma hawaiiense,-24.1,-24.4,-,-,-
Average,-25.6 (.52),-25.4 (.33),-28.4 (.66),-29.0 (.50),-29.9 (.75)
