"Table 1. Differences in soil properties between the Kohala forest soil and pasture soil. 
<sup>a</sup> ND, not determined. 
<sup>b</sup> Data from @Crews1995. 
<sup>c</sup> The overstory is dominated by M. *polymorpha*, a native C-3 tree. 
<sup>d</sup> P. clanestinum is an African C-4 grass.",,,,,,,,,
Soil,Soil classification,pH,Total carbon (%),Total nitrogen (%),NO<sub>3</sub><sup>−</sup>-N (μg/g),NH<sub>4</sub><sup>+</sup>-N (μg/g),Cation exchange capacity (meq/100 g),Soil bulk density (g/cm<sup>3</sup>),Dominating plant
Forest,Typic Placandept,4.2,13.5,1.5,2.2,83.3,89.3,0.498<sup>b</sup>,M. *polymorpha*<sup>c</sup>
Pasture,Typic Placandept,5.2,8.1,ND<sup>a</sup>,5.6,22.4,51.9,0.587,P. *clandestinum*<sup>d</sup>
