"Table 3. Total Nitrogen and Carbon and C/N Ratio of Sugarcane Cultivars Plant Samples Collected Less Than Two Weeks Prior to Harvest Date. 1 Lower case letter represents difference between sugarcane cultivars within the field (i.e., field with Pulehu or Molokai soils) for each analyzed parameter at Pr < 0.005; 2 Upper case letter represents difference sugarcane cultivars between fields for each analyzed parameter at Pr < 0.0001.",,,,,,
Sugarcane Cultivar,Total Nitrogen - Pulehu (%),Total Nitrogen - Molokai (%),Total Carbon - Pulehu (%),Total Carbon - Molokai (%),C/N Ratio - Pulehu,C/N Ratio - Molokai
H-65-7052,0.256 c 1 BC,0.181 c D,50.9 a A 2,49.4 a B,199 a B,273 a A
H-78-3567,0.334 b A,0.277 a B,50.6 b AB,46.8 b C,151 b C,169 c C
H-86-3792,0.367 a A,0.214 b CD,50.4 b AB,50.1 a Ab,137 c C,234 ab A
H-87-4319,0.328 b A,0.232 ab CD,49.2 c B,49.2 a B,150 b C,212 b B
