"Figure 2. Total organic (OC) and inorganic (IC) carbon for the four sugarcane cultivars growing in Molokai soils. Black (solid) portion of the bars represent the IC and color portion represent OC for each soil depth and sugarcane growing stages (i.e., blue (open arrows)-tillering, yellow (irregular shape)-grand growth, green (light circles)-maturity) when the soil samples were collected. Means followed by the same letter or no letters for the bars in each Soil depth are not significantly different Tukey’s test at Pr < 0.05.",,,,,,
x,footnote,y,site label,x axis label,y axis label,color portion label,bar color
2.6,c,100,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
7.4,c,100,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
2.0,a,60,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
11.3,a,60,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
1.6,b,60,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
7.7,b,60,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
1.8,c,60,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
5.1,c,60,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
0.4,a,30,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
6.6,a,30,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
0.4,b,30,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
5.3,b,30,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
0.3,c,30,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
4.3,c,30,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
0.4,a,10,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
7.4,a,10,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
0.5,b,10,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
6.6,b,10,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
0.6,c,10,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
5.7,c,10,H-86-3792 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
3.0,a,100,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
11.5,a,100,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
3.2,a,100,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
10.4,a,100,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
3.1,b,100,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
8.6,b,100,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
1.3,a,60,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
14.8,a,60,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
1.1,b,60,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
9.3,b,60,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
1.5,c,60,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
4.9,c,60,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
0.5,a,30,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
5.9,a,30,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
0.4,b,30,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
4.1,b,30,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
0.4,c,30,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
2.3,c,30,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
0.9,10,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
3.9,10,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
1.1,10,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
3.8,10,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
0.8,10,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
3.3,10,H-87-4319 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
