"Figure 1. Total organic (OC) and inorganic (IC) carbon for the four sugarcane cultivars grown in Pulehu soils. Black (solid) portion of the bars represent the IC and color portion represent OC for each soil depth and sugarcane growing stages (i.e., blue (open arrows)-tillering, yellow (irregular shape)-grand growth, green (light circles)-maturity) when the soil samples were collected. Means followed by the same letter or no letters for the bars in each soil depth are not significantly different in the Tukey’s test at Pr < 0.05.",,,,,,
x,footnote,y,site label,x axis label,y axis label,color portion label,bar color
2.5, c,100,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
4.5, c,100,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
3.5, a,60,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
5.1, a,60,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
2.3, b,60,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
3.6, b,60,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
0.5, c,60,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
0.9, c,60,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
0.4, b,30,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
5.3, b,30,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
2.6, a,30,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
5.8, a,30,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
1.0, c,30,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
1.9, c,30,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
1.6, a,10,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
4.2, a,10,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
1.6, a,10,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
