"Figure 3. Ashe juniper wood change in carbon:nitrogen (C:N) through time, shaded and open treatments combined. Linear fit (solid line): r$^2$ = 0.726, *F* = 246.44, *P* < 0.0001; single-exponential (dotted line): r$^2$ = 0.772, *F* = 315.86, *P* < 0.0001.",,
Time (year),C:N ratio,y SE high value
0.00,312,346
0.17,345,368
0.33,364,395
0.42,391,420
0.75,362,379
1.00,302,317
1.25,180,205
1.33,174,199
1.58,147,168
2.25,138,150
2.67,122,142
