"Leaf mass per area (LMA), foliar nitrogen, phosphorus, major cations, Î´^{15}N, and Î´^{13}C for native overstory species from sites along the precipitation gradient in Hawai'i. All concentrations are percent dry weight, and values are means with SE in parentheses. Where no SE is reported, a single or composite sample was analyzed. Species names from @Wagner1990.",,,,,,
Condition,Species,Kaniku,Kaupulehu,Manuka,Kaloko,Waiakea
Î´15N,Antidesma platyphyllum,-,-,-3.3,-3.2,-3.4
Î´15N,Canthium odoratum,-1.30 (.71),-0.70 (.30),-3.73 (.78),-,-
Î´15N,Diospyros sandwicensis,-1.10 (.33),-0.03 (.48),-3.18 (.22),-,-
Î´15N,Freycinetia arborea,-,-,-,-3.6,-3
Î´15N,Myrsine spp.,-0.3,-,-3.56 (.08),-3.90 (.25),-3.60 (1.2)
Î´15N,Metrosideros polymorpha,+0.04 (.30),+0.45 (.29),-3.78 (.19),-4.36 (.16),-3.38 (.18)
Î´15N,Nestegis sandwicensis,-,-,-3.9,-,-
Î´15N,Psychotria hawaiiense,-,-,-3.20 (.69),-3.43 (.38),-2.2
Î´15N,Pouteria sandwicensis,0.7,-1.8,-,-,-
Î´15N,Santalum ellipticum,-0.2,-2,-,-,-
Î´15N,Xylosma hawaiiense,0.8,1,-,-,-
Î´15N,Average,-0.19 (.30),-0.51 (.49),-3.52 (.12),-3.70 (.23),-2.89 (.16)
Î´15C,Acacia koa,-,-,-,-,-28.5 (.71)
Î´15C,Antidesma platyphyllum,-,-,-29.1,-32.4,-31.6
Î´15C,Canthium odoratum,-25.5 (.63),-25.3 (.53),-29.9 (.62),-,-
Î´15C,Diospyros sandwicensis,-25.8 (.18),-25.6 (.58),-27.2 (.25),-,-
Î´15C,Freycinetia arborea,-,-,-,-27.4,-32
Î´15C,Myrsine spp.,-23.6,-,-29.6 (.24),-28.8 (1.1),-29.9 (.26)
Î´15C,Metrosideros polymorpha,-27.7 (1.1),-26.4 (.98),-25.8 (.43),-29.0 (.23),-28.6 (.50)
Î´15C,Nestegis sandwicensis,-,-,-29.6,-,-
Î´15C,Psychotria hawaiiense,-,-,-28.2 (.44),-27.4 (.67),-29
Î´15C,Pouteria sandwicensis,-26.2,-24.6,-,-,-
Î´15C,Santalum ellipticum,-26.3,-26.2,-,-,-
Î´15C,Xylosma hawaiiense,-24.1,-24.4,-,-,-
Î´15C,Average,-25.6 (.52),-25.4 (.33),-28.4 (.66),-29.0 (.50),-29.9 (.75)
