wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,,,,
Subsection, Column name (attribute),Descriptive name, Oracle data type,Description
2.6.33,INVASIVE_SUBP_STATUS_CD,Invasive subplot status code ,NUMBER(1),A code indicating if the subplot was sampled for invasive plants.
2.6.34,INVASIVE_NONSAMPLE_REASN_CD,Invasive nonsampled reason code ,NUMBER(2),A code indicating why a subplot could not be sampled for invasive plants.
2.6.35,CROWN_CLOSURE_ME_NERS,"Crown closure (Maine), Northeastern Research Station",NUMBER(1),A code indicating the percent of the subplot that is covered by live trees directly overhead. Only populated by certain FIA work units (SURVEY.RSCD = 24).
2.6.36,GROUND_TRAN_PTS_BARE_RMRS,"Ground surface cover transect points - bare ground, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by bare ground. This value is an estimate based on the number of sampling points on the subplot area that were classified as bare ground using a ground surface cover transect sampling method. Bare ground is defined as exposed soil and rock fragments smaller than ¾ inch in diameter. Larger rocks protruding through the soil are not classified as bare ground.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.37,GROUND_TRAN_PTS_CRYP_RMRS,"Ground surface cover transect points - cryptogamic crust, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by cryptogamic crust. This value is an estimate based on the number of sampling points on the subplot area that were classified as cryptogamic crust using a ground surface cover transect sampling method. Cryptogamic crust is defined as thin, biotically dominated ground or surface crusts on soil in dry rangeland conditions (such as algae, lichen, mosses, or cyanobacteria, which are growing on bare soil).
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.38,GROUND_TRAN_PTS_DEV_RMRS,"Ground surface cover transect points - developed land, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by developed land. This value is an estimate based on the number of sampling points on the subplot area that
were classified as developed land using a ground surface cover transect sampling method. Developed land is defined as surface area covered by the following: (1) any man-made structure other than a road, such as a building, dam, parking lot, or electronic site/structure, (2) maintained residential yards, or (3) agricultural crops (not rangeland).
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.39,GROUND_TRAN_PTS_LICHEN_RMRS,"Ground surface cover transect points - lichen, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by lichens. This value is an
estimate based on the number of sampling points on the subplot area that were classified as lichen using a ground surface cover transect sampling method. A lichen is defined as an organism generally recognized as a single plant that consists of a fungus and an alga or cyanobacterium living in a symbiotic association. This category does not apply to lichens growing on bare soils in dry rangeland conditions. For rangeland conditions, see GROUND_TRAN_PTS_CRYP_RMRS (cryptogamic crusts).
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.40,GROUND_TRAN_PTS_LITTER_RMRS,"Ground surface cover transect points - litter, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by litter. This value is an estimate based on the number of sampling points on the subplot area that were classified as litter using a ground surface cover transect sampling method. Litter is defined as organic debris, freshly fallen or slightly decomposed; it includes dead vegetation, animal feces, etc.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.41,GROUND_TRAN_PTS_MOSS_RMRS,"Ground surface cover transect points - moss, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by moss. This value is an
estimate based on the number of sampling points on the subplot area that were classified as moss using a ground surface cover transect sampling method. Moss is defined as nonvascular, terrestrial green plants including mosses, hornworts and liverworts - always herbaceous. This category does not apply to moss growing on bare soils in dry rangeland conditions. For rangeland conditions, see GROUND_TRAN_PTS_CRYP_RMRS (cryptogamic crusts).
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.42,GROUND_TRAN_PTS_NOTSAMP_RMRS,"Ground surface cover transect points - not sampled, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area that was not sampled. This value is
based on the number of sampling points on the subplot area that were classified as not sampled using a ground surface cover transect sampling method. When this category is used, the reason for not sampling any points along the transect should be described in the subplot notes.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.43,GROUND_TRAN_PTS_OTHER_RMRS,"Ground surface cover transect points - other cover, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area classified as other cover. This value is an estimate based on the number of sampling points on the subplot area that were classified as other cover using a ground surface cover transect sampling method. This category includes covers that are not defined elsewhere by one of the other ground cover transect categories (e.g., trash). When this category is used, the other cover should be described in the subplot notes.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.44,GROUND_TRAN_PTS_PEIS_RMRS,"Ground surface cover transect points - permanent ice and snow, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by permanent ice and snow. This value is an estimate based on the number of sampling points on the subplot area that were classified as permanent ice and snow using a ground surface cover transect sampling method. This category is defined as surface area covered with ice and snow at the time of plot measurement, which is considered to be permanent.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.45,GROUND_TRAN_PTS_ROAD_RMRS,"Ground surface cover transect points - road, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by road. This value is an estimate based on the number of sampling points on the subplot area that were classified as road using a ground surface cover transect sampling method. This category is defined as improved roads, paved roads, gravel roads, improved dirt roads, and off-road vehicle trails, which are regularly maintained or in long-term continuing use. These roads are generally constructed using machinery. Cutbanks and fills are included.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.46,GROUND_TRAN_PTS_ROCK_RMRS,"Ground surface cover transect points - rock, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by rock. This value is an estimate based on the number of sampling points on the subplot area that were classified as rock using a ground surface cover transect sampling method. This category includes rocks and rock fragments that are greater than ¾ inch in diameter.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.47,GROUND_TRAN_PTS_TRIS_RMRS,"Ground surface cover transect points - transient ice and snow, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by transient ice and snow. This value is an estimate based on the number of sampling points on the subplot area that were classified as transient ice and snow using a ground surface cover transect sampling method. This category is defined as surface area covered with ice and snow at the time of plot measurement, which is considered to be transient.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.48,GROUND_TRAN_PTS_VEG_RMRS,"Ground surface cover transect points - basal vegetation, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by basal vegetation. This value is an estimate based on the number of sampling points on the subplot area that
were classified as basal vegetation using a ground surface cover transect sampling method. Basal vegetation is defined as the area outline of a plant near the ground surface. For grass, this consists of the shoot system at ground level. For trees and shrubs, this consists of the stem area.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.49,GROUND_TRAN_PTS_WATER_RMRS,"Ground surface cover transect points - water, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by water. This value is an
estimate based on the number of sampling points on the subplot area that were classified as water using a ground surface cover transect sampling method. This category is defined as water remaining above the ground surface during the growing season, such as streams, bogs, swamps, marshes and ponds. Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.50,GROUND_TRAN_PTS_WOOD_RMRS,"Ground surface cover transect points - wood, Rocky Mountain Research Station",NUMBER(3),"A value indicating the percent of the subplot area covered by wood. This value is an
estimate based on the number of sampling points on the subplot area that were classified as wood using a ground surface cover transect sampling method. This category is defined as woody material, including slash and small and large woody debris, regardless of depth. Litter and non-continuous litter are not included.
Data only collected for subplots that have a sampled nonforest condition at subplot center (NF_SUBP_STATUS_CD = 1). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
2.6.51,PREV_STATUSCD_RMRS,"Previous subplot status code, Rocky Mountain Research Station",NUMBER(1),A code indicating the subplot sampling at the previous inventory visit. Blank (null) values may be present for periodic inventories. Only populated by certain FIA work units (SURVEY.RSCD = 22).
2.6.52,ROOTSEVCD_RMRS,"Root disease severity rating code, Rocky Mountain Research Station",NUMBER(1),"A code indicating the severity of root disease on the subplot area. Data only collected for plots sampled by RMRS in Region 1 (MT, ID, ND, SD) when SUBP_STATUS_CD = 1 or
NF_SUBP_STATUS_CD = 1. Only populated by certain FIA work units (SURVEY.RSCD =
22)."
