"Table 2. Soil Bulk Density, pH, Effective Cation Exchange Capacity (ECEC), Base Saturation (BS), N, C, and $^{13}$C Concentrations for A the Kamae Site, B the Chinchuck Site, C the Lajas Site, and D the Toa Baja Site. Standard deviations are provided where applicable. At the Kamae site, one *Eucalyptus* plot is excluded from analysis due to the predominance of rock in the last 20 cm of the 0—40-cm soil core. a Data from @Garcia-Montiel1998. Data were measured from the surface 20 cm of soil when the plantation was 12 years old. b Data from @Wang1991. Data were measured from the top 3 cm of soil when the plantation was 5.5 years old. c Base saturation was calculated as the sum of the basic cations Ca$^{2+}$, Mg$^{2+}$, K$^+$, and Na$^+$ divided by the CEC. d Data from @Parrotta1999. Data were measured from the surface 20 cm of soil when the plantation was 7.5 years old. e Base saturation was calculated as the sum of the basic cations Ca$^{2+}$, Mg$^{2+}$, K$^+$, and Na$^+$ divided by the CEC from @Parrotta1999 and Parrotta Unpublished. Data were measured when the plantation was 7.5 years old.",,,,,,,,,
Location,Species,Depth (cm),Bulk Density (kg L$^{-1}$),pH$^a$ (in Water),ECEC$^a$ (mmol$_c$ kg$^{-1}$),BS$^a$ (%),N (g kg$^{-1}$),C (g kg$^{-1}$),δ$^{13}$C (‰)
D Toa Baja,*Eucalyptus* (*n* = 3),0-10,1.21 ± 0.19,7.77,68.6,98.7,1.1 ± 0.4,11.4 ± 2.7,-23.6 ± 0.6
D Toa Baja,*Eucalyptus* (*n* = 3),10-20,1.28 ± 0.10,-,-,99.0,0.9 ± 0.4,7.7 ± 2.4,-21.9 ± 1.6
D Toa Baja,*Eucalyptus* (*n* = 3),20-30,1.24 ± 0.13,-,-,98.8,0.6 ± 0.3,5.6 ± 3.3,-22.0 ± 1.0
D Toa Baja,*Eucalyptus* (*n* = 3),30-40,1.41 ± 0.19,-,-,99.2,0.5 ± 0.2,4.3 ± 2.6,-21.6 ± 0.7
D Toa Baja,*Casuarina* (*n* = 3),0-10,1.16 ± 0.05,7.93,83.4,98.3,1.1 ± 0.3,12.6 ± 5.0,-24.8 ± 1.3
D Toa Baja,*Casuarina* (*n* = 3),10-20,1.29 ± 0.06,-,-,99.0,0.9 ± 0.3,7.9 ± 2.9,-21.6 ± 0.9
D Toa Baja,*Casuarina* (*n* = 3),20-30,1.49 ± 0.16,-,-,99.0,0.9 ± 0.4,7.0 ± 3.4,-20.4 ± 1.0
D Toa Baja,*Casuarina* (*n* = 3),30-40,1.50 ± 0.13,-,-,99.1,0.5 ± 0.1,3.6 ± 0.1,-21.0 ± 0.4
D Toa Baja,*Leucaena* (*n* = 3),0-10,1.10 ± 0.08,7.95,93.0,98.5,1.5 ± 0.2,13.9 ± 1.8,-24.3 ± 1.4
D Toa Baja,*Leucaena* (*n* = 3),10-20,1.23 ± 0.12,-,-,98.7,1.0 ± 0.4,8.1 ± 3.0,-21.5 ± 1.3
D Toa Baja,*Leucaena* (*n* = 3),20-30,1.40 ± 0.26,-,-,98.8,0.8 ± 0.4,6.8 ± 2.7,-20.3 ± 1.1
D Toa Baja,*Leucaena* (*n* = 3),30-40,1.42 ± 0.24,-,-,99.4,0.5 ± 0.3,4.1 ± 2.0,-20.6 ± 0.6
D Toa Baja,Pasture (*n* = 3),0-10,1.16 ± 0.09,7.70,97.3,98.9,1.4 ± 0.6,13.7 ± 5.7,-19.2 ± 1.2
D Toa Baja,Pasture (*n* = 3),10-20,1.27 ± 0.10,-,-,99.4,1.3 ± 0.3,11.7 ± 4.0,-20.3 ± 0.8
D Toa Baja,Pasture (*n* = 3),20-30,1.42 ± 0.16,-,-,98.7,0.9 ± 0.6,7.6 ± 4.7,-20.2 ± 1.7
D Toa Baja,Pasture (*n* = 3),30-40,1.45 ± 0.19,-,-,99.2,0.6 ± 0.7,5.9 ± 5.1,-23.1 ± 2.9
