"**Table S1 Interspecific comparisons of leaf and litter traits between deciduous *Proustia* and evergreen *Porlieria*.** Values are means +- 1 standard error, and Student’s t tests are shown for interspecific comparisons. ****P* < 0.0001.",,,,,,
NA,Green mature leaves *Proustia*,Green mature leaves *Porlieria*,Green mature leaves t test *(d.f.)*,Litter *Proustia*,Litter *Porlieria*,Litter t test *(d.f.)*
LMA,132.4 (3.1),230.5 (7.4),30.1 *(23)****,153.7 (5.5),274.8 (4.5),18.2 *(15)****
C%,45.2 (0.32),49.2 (0.21),9.11 *(20)****,50.0 (0.31),51.7 (0.27),1.8 *(19)*
N%,1.87 (0.01),1.44 (0.03),12.5 *(22)****,1.08 (0.09),1.13 (0.06),1.73 *(19)*
C:N,24.2 (0.35),34.3 (0.39),11.6 *(15)****,46.1 (3.01),45.9 (3.21),-0.06
lignin (%),7.85 (0.37),11.55 (0.66),18.9 *(22)****,10.02 (0.9),12.46 (0.95),10.6 *(22)****
lignin:N,4.20 (0.05),8.07 (0.09),16.8 *(18)****,9.22 (0.3),11.14 (0.21),6.3 *(20)****
