study_id,table_id,column_id,of_variable,is_type,with_entry,information_from,has_status,note
ISCN3,layer,bdNRCS_prep_code,bulk_density_sample,description,NRCS bulk density method code,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_sample,control_vocabulary,NRCS_bulk_density_code,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_sample,method,,metadata,alpha,
ISCN3,layer,bd_tot (g cm-3),bulk_density_total,description,"Grams of oven-dried soil per cubic centimeter, with soil particles greater than 2 mm and roots greater that 1 cm diameter included",metadata,alpha,
ISCN3,layer,bd_tot (g cm-3),bulk_density_total,unit,g cm-3,metadata,alpha,
ISCN3,layer,bd_tot (g cm-3),bulk_density_total,method,Whole soil bulk density,metadata,alpha,
ISCN3,layer,bd_tot (g cm-3),bulk_density_total,value,--,metadata,alpha,
ISCN3,layer,bd_method,bulk_density_total,description,Method used to determine bulk density,metadata,alpha,
ISCN3,layer,bd_method,bulk_density_total,method,--,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_total,description,NRCS bulk density method code,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_total,control_vocabulary,NRCS_bulk_density_code,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_total,method,--,metadata,alpha,
ISCN3,layer,bd_whole (g cm-3),bulk_density_whole,description,"Grams of oven-dried soil per cubic centimeter, with the content of soil particles >2mm and roots >1cm diameter estimated and subtracted",metadata,alpha,
ISCN3,layer,bd_whole (g cm-3),bulk_density_whole,unit,g cm-3,metadata,alpha,
ISCN3,layer,bd_whole (g cm-3),bulk_density_whole,method,Fine earth (estimated coarse fraction correction) bulk density,metadata,alpha,
ISCN3,layer,bd_whole (g cm-3),bulk_density_whole,value,--,metadata,alpha,
ISCN3,layer,bd_method,bulk_density_whole,description,Method used to determine bulk density,metadata,alpha,
ISCN3,layer,bd_method,bulk_density_whole,method,--,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_whole,description,NRCS bulk density method code,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_whole,control_vocabulary,NRCS_bulk_density_code,metadata,alpha,
ISCN3,layer,bdNRCS_prep_code,bulk_density_whole,method,,metadata,alpha,
ISCN3,layer,bd_other (g cm-3),bulk_density_other,description,"Grams of oven-dried soil per cubic centimeter, method used in the associated Bulk Density Method, soil particle fraction used",metadata,alpha,
