Fig. 3. (B) Carbon stocks (mean and SE) at each of the high-elevation sites on Mauna Kea.,,
Site elevation (m),C stock mean (Mg/ha),C stock SE (Mg/ha)
3560,6.33,9.62
3440,22.0,23.3
3260,72.6,85.0
3030,140.1,167.2
